female_family	male_family	male_rep_number	male_family_number	male_plant_number	date	number_of_GFP_kernels	number_of_WT_kernels	AC_present_in_parent	exclude_from_final_dataset	expression_category_a	MP_2017_FPKM_rank	SC_2017_FPKM_rank	seedling_2014_FPKM_rank	genetic_background	marker	not_HVY	allele	v3_gene	v4_gene
401	420-1	m1	420	1	8/27	261	289	0	FALSE	vegetative_cell_high	43	25	32	1	1	0	R08A07	GRMZM5G845021	Zm00001d048785
401	420-3	m1	420	3	8/22	204	247	0	FALSE	vegetative_cell_high	43	25	32	1	1	0	R08A07	GRMZM5G845021	Zm00001d048785
401	420-4	m1	420	4	8/22	202	207	0	FALSE	vegetative_cell_high	43	25	32	1	1	0	R08A07	GRMZM5G845021	Zm00001d048785
401	423-1	m1	423	1	8/27	135	171	1	FALSE	vegetative_cell_high	23	10	34	1	1	0	R103E04	GRMZM5G878153	Zm00001d034799
402	423-2	m1	423	2	8/24	208	224	0	FALSE	vegetative_cell_high	23	10	34	1	1	0	R103E04	GRMZM5G878153	Zm00001d034799
402	423-2	m2	423	2	8/27	255	259	0	FALSE	vegetative_cell_high	23	10	34	1	1	0	R103E04	GRMZM5G878153	Zm00001d034799
402	423-2	m3	423	2	8/25	318	287	0	FALSE	vegetative_cell_high	23	10	34	1	1	0	R103E04	GRMZM5G878153	Zm00001d034799
402	432-1	m1	432	1	8/22	188	176	0	FALSE	vegetative_cell_high	20	6	14	1	1	0	R23D05	GRMZM2G126858	Zm00001d026303
401	432-2	m1	432	2	8/22	194	188	0	FALSE	vegetative_cell_high	20	6	14	1	1	0	R23D05	GRMZM2G126858	Zm00001d026303
402	432-2	m2	432	2	8/25	183	149	0	FALSE	vegetative_cell_high	20	6	14	1	1	0	R23D05	GRMZM2G126858	Zm00001d026303
402	432-2	m3	432	2	8/24	212	207	0	FALSE	vegetative_cell_high	20	6	14	1	1	0	R23D05	GRMZM2G126858	Zm00001d026303
403	432-5	m1	432	5	8/19	260	269	0	FALSE	vegetative_cell_high	20	6	14	1	1	0	R23D05	GRMZM2G126858	Zm00001d026303
401	432L-3	m1	432	3	8/22	242	235	0	FALSE	vegetative_cell_high	20	6	14	1	1	0	R23D05	GRMZM2G126858	Zm00001d026303
403	433-3	m1	433	3	8/6	268	264	0	FALSE	vegetative_cell_high	37	14	16	1	1	0	R24D03	GRMZM2G120136	Zm00001d026445
403	433-5	m1	433	5	8/18	109	87	0	FALSE	vegetative_cell_high	37	14	16	1	1	0	R24D03	GRMZM2G120136	Zm00001d026445
403	433L-2	m1	433	2	9/2	111	135	0	FALSE	vegetative_cell_high	37	14	16	1	1	1	R24D03	GRMZM2G120136	Zm00001d026445
402	433L-2	m2	433	2	9/1	167	183	0	FALSE	vegetative_cell_high	37	14	16	1	1	0	R24D03	GRMZM2G120136	Zm00001d026445
403	435-1	m1	435	1	8/18	148	141	1	FALSE	vegetative_cell_high	24	17	28	1	1	0	R27E01	GRMZM2G016734	Zm00001d028820
401	435-5	m1	435	5	8/21	208	225	1	FALSE	vegetative_cell_high	24	17	28	1	1	0	R27E01	GRMZM2G016734	Zm00001d028820
402	435L-2	m1	435	2	8/31	124	145	1	FALSE	vegetative_cell_high	24	17	28	1	1	0	R27E01	GRMZM2G016734	Zm00001d028820
402	435L-2	m2	435	2	8/30	211	183	1	FALSE	vegetative_cell_high	24	17	28	1	1	0	R27E01	GRMZM2G016734	Zm00001d028820
402	435L-2	m3	435	2	9/1	253	315	1	FALSE	vegetative_cell_high	24	17	28	1	1	0	R27E01	GRMZM2G016734	Zm00001d028820
401	466-1	m1	466	1	8/22	234	226	0	FALSE	vegetative_cell_high	22	13	23	1	1	0	R77F09	GRMZM2G142249	Zm00001d032279
400	466-4	m1	466	4	8/28	127	136	0	FALSE	vegetative_cell_high	22	13	23	1	1	0	R77F09	GRMZM2G142249	Zm00001d032279
402	466-5	m1	466	5	8/20	209	216	0	FALSE	vegetative_cell_high	22	13	23	1	1	0	R77F09	GRMZM2G142249	Zm00001d032279
402	466-5	m2	466	5	8/24	278	326	0	FALSE	vegetative_cell_high	22	13	23	1	1	0	R77F09	GRMZM2G142249	Zm00001d032279
402	466-5	m3	466	5	8/22	194	202	0	FALSE	vegetative_cell_high	22	13	23	1	1	0	R77F09	GRMZM2G142249	Zm00001d032279
400	466L-2	m1	466	2	9/7	178	155	0	FALSE	vegetative_cell_high	22	13	23	1	1	1	R77F09	GRMZM2G142249	Zm00001d032279
403	486-1	m1	486	1	8/16	216	223	0	FALSE	vegetative_cell_high	28	19	26	2	1	0	R04G10	GRMZM2G114093	Zm00001d032310
403	486-1	m2	486	1	8/15	187	188	0	FALSE	vegetative_cell_high	28	19	26	2	1	0	R04G10	GRMZM2G114093	Zm00001d032310
402	486-2	m1	486	2	8/19	303	282	0	FALSE	vegetative_cell_high	28	19	26	2	1	0	R04G10	GRMZM2G114093	Zm00001d032310
402	486-2	m2	486	2	8/18	205	202	0	FALSE	vegetative_cell_high	28	19	26	2	1	0	R04G10	GRMZM2G114093	Zm00001d032310
402	486-2	m3	486	2	8/20	243	303	0	FALSE	vegetative_cell_high	28	19	26	2	1	0	R04G10	GRMZM2G114093	Zm00001d032310
402	486-3	m1	486	3	-	186	165	0	FALSE	vegetative_cell_high	28	19	26	2	1	0	R04G10	GRMZM2G114093	Zm00001d032310
402	418-1	m1	418	1	8/17	162	255	0	FALSE	vegetative_cell_high	25	27	3	1	1	0	R04A02	GRMZM2G359879	Zm00001d028437
402	418-1	m2	418	1	8/18	238	270	0	FALSE	vegetative_cell_high	25	27	3	1	1	0	R04A02	GRMZM2G359879	Zm00001d028437
402	418-1	m3	418	1	8/19	212	291	0	FALSE	vegetative_cell_high	25	27	3	1	1	0	R04A02	GRMZM2G359879	Zm00001d028437
400	418-2	m1	418	2	8/29	177	214	0	FALSE	vegetative_cell_high	25	27	3	1	1	0	R04A02	GRMZM2G359879	Zm00001d028437
401	418-3	m1	418	3	8/24	107	118	0	FALSE	vegetative_cell_high	25	27	3	1	1	0	R04A02	GRMZM2G359879	Zm00001d028437
401	421-1	m1	421	1	8/23	100	88	0	FALSE	vegetative_cell_high	50	51	21	1	1	1	R101B03	GRMZM2G012263	Zm00001d037061
401	421-1	m2	421	1	-	116	89	0	FALSE	vegetative_cell_high	50	51	21	1	1	1	R101B03	GRMZM2G012263	Zm00001d037061
402	421-1	m3	421	1	8/25	125	123	0	FALSE	vegetative_cell_high	50	51	21	1	1	1	R101B03	GRMZM2G012263	Zm00001d037061
400	421-2	m1	421	2	8/28	130	108	0	FALSE	vegetative_cell_high	50	51	21	1	1	0	R101B03	GRMZM2G012263	Zm00001d037061
402	421-4	m1	421	4	8/17	172	259	1	FALSE	vegetative_cell_high	50	51	21	1	1	0	R101B03	GRMZM2G012263	Zm00001d037061
402	421-5	m1	421	5	8/23	205	208	0	FALSE	vegetative_cell_high	50	51	21	1	1	0	R101B03	GRMZM2G012263	Zm00001d037061
402	421-5	m2	421	5	8/24	180	176	0	FALSE	vegetative_cell_high	50	51	21	1	1	0	R101B03	GRMZM2G012263	Zm00001d037061
402	421-5	m3	421	5	8/22	207	180	0	FALSE	vegetative_cell_high	50	51	21	1	1	0	R101B03	GRMZM2G012263	Zm00001d037061
400	422-1	m1	422	1	8/27	161	150	0	FALSE	vegetative_cell_high	48	36	33	1	1	0	R102H01	GRMZM2G350802	Zm00001d037695
402	422-1	m2	422	1	8/28	35	31	0	FALSE	vegetative_cell_high	48	36	33	1	1	1	R102H01	GRMZM2G350802	Zm00001d037695
402	422-2	m1	422	2	8/27	62	47	0	FALSE	vegetative_cell_high	48	36	33	1	1	0	R102H01	GRMZM2G350802	Zm00001d037695
402	422-2	m2	422	2	8/22	99	122	0	FALSE	vegetative_cell_high	48	36	33	1	1	0	R102H01	GRMZM2G350802	Zm00001d037695
402	422-2	m3	422	2	8/24	97	142	0	FALSE	vegetative_cell_high	48	36	33	1	1	1	R102H01	GRMZM2G350802	Zm00001d037695
402	422-4	m1	422	4	8/13	119	198	0	FALSE	vegetative_cell_high	48	36	33	1	1	0	R102H01	GRMZM2G350802	Zm00001d037695
401	422-4	m2	422	4	8/24	190	224	0	FALSE	vegetative_cell_high	48	36	33	1	1	0	R102H01	GRMZM2G350802	Zm00001d037695
402	427-2	m1	427	2	8/23	204	207	0	FALSE	sperm_cell_high	32	40	20	1	1	0	R106G12	GRMZM2G099382	Zm00001d044109
402	427-2	m2	427	2	8/22	270	283	0	FALSE	sperm_cell_high	32	40	20	1	1	0	R106G12	GRMZM2G099382	Zm00001d044109
402	427-2	m3	427	2	8/24	56	40	0	FALSE	sperm_cell_high	32	40	20	1	1	0	R106G12	GRMZM2G099382	Zm00001d044109
402	427-3	m1	427	3	8/18	229	234	0	FALSE	sperm_cell_high	32	40	20	1	1	0	R106G12	GRMZM2G099382	Zm00001d044109
402	427L-1	m1	427	1	8/30	126	145	0	FALSE	sperm_cell_high	32	40	20	1	1	1	R106G12	GRMZM2G099382	Zm00001d044109
401	439-1	m1	439	1	8/20	231	240	0	FALSE	vegetative_cell_high	39	31	13	1	1	0	R31H05	GRMZM2G136508	Zm00001d025437
402	439-1	m2	439	1	8/19	198	166	0	FALSE	vegetative_cell_high	39	31	13	1	1	0	R31H05	GRMZM2G136508	Zm00001d025437
402	439-1	m3	439	1	8/18	153	167	0	FALSE	vegetative_cell_high	39	31	13	1	1	0	R31H05	GRMZM2G136508	Zm00001d025437
403	439-3	m1	439	3	8/18	207	192	0	FALSE	vegetative_cell_high	39	31	13	1	1	0	R31H05	GRMZM2G136508	Zm00001d025437
402	439-4	m1	439	4	8/17	168	185	0	FALSE	vegetative_cell_high	39	31	13	1	1	0	R31H05	GRMZM2G136508	Zm00001d025437
402	440-1	m1	440	1	8/22	205	246	0	FALSE	vegetative_cell_high	41	26	31	1	1	1	R33F03	GRMZM2G039583	Zm00001d022250
402	440-1	m2	440	1	8/23	235	305	0	FALSE	vegetative_cell_high	41	26	31	1	1	0	R33F03	GRMZM2G039583	Zm00001d022250
402	440-1	m3	440	1	8/24	166	203	0	FALSE	vegetative_cell_high	41	26	31	1	1	0	R33F03	GRMZM2G039583	Zm00001d022250
401	440-2	m1	440	2	8/23	199	271	0	FALSE	vegetative_cell_high	41	26	31	1	1	0	R33F03	GRMZM2G039583	Zm00001d022250
401	440-3	m1	440	3	8/20	125	168	0	FALSE	vegetative_cell_high	41	26	31	1	1	0	R33F03	GRMZM2G039583	Zm00001d022250
400	440L-2	m1	440	2	8/31	123	150	0	FALSE	vegetative_cell_high	41	26	31	1	1	0	R33F03	GRMZM2G039583	Zm00001d022250
401	442-1	m1	442	1	8/20	199	228	1	FALSE	vegetative_cell_high	36	42	2	1	1	0	R35A08	GRMZM2G172751	Zm00001d027590
401	442-2	m1	442	2	8/29	142	165	1	FALSE	vegetative_cell_high	36	42	2	1	1	0	R35A08	GRMZM2G172751	Zm00001d027590
402	442-3	m1	442	3	8/18	79	66	0	FALSE	vegetative_cell_high	36	42	2	1	1	0	R35A08	GRMZM2G172751	Zm00001d027590
402	442-3	m2	442	3	8/28	199	206	0	FALSE	vegetative_cell_high	36	42	2	1	1	0	R35A08	GRMZM2G172751	Zm00001d027590
402	450-1	m1	450	1	8/28	174	232	0	FALSE	vegetative_cell_high	34	41	22	1	1	0	R52E07	GRMZM5G827174	Zm00001d007845
402	450-2	m2	450	2	8/24	201	208	0	FALSE	vegetative_cell_high	34	41	22	1	1	0	R52E07	GRMZM5G827174	Zm00001d007845
402	450-2	m3	450	2	8/25	187	217	0	FALSE	vegetative_cell_high	34	41	22	1	1	0	R52E07	GRMZM5G827174	Zm00001d007845
402	450-2	m1	450	2	8/22	248	253	0	FALSE	vegetative_cell_high	34	41	22	1	1	0	R52E07	GRMZM5G827174	Zm00001d007845
401	459-2	m1	459	2	-	224	243	0	FALSE	vegetative_cell_high	52	50	11	1	1	0	R67C09	GRMZM2G135570	Zm00001d014731
402	459-3	m1	459	3	-	239	349	0	FALSE	vegetative_cell_high	52	50	11	1	1	0	R67C09	GRMZM2G135570	Zm00001d014731
400	459-3	m2	459	3	-	144	169	0	FALSE	vegetative_cell_high	52	50	11	1	1	0	R67C09	GRMZM2G135570	Zm00001d014731
402	459-3	m3	459	3	8/27	153	191	0	FALSE	vegetative_cell_high	52	50	11	1	1	0	R67C09	GRMZM2G135570	Zm00001d014731
402	459L-1	m1	459	1	-	68	98	0	FALSE	vegetative_cell_high	52	50	11	1	1	0	R67C09	GRMZM2G135570	Zm00001d014731
401	468A-1	m1	468	1	-	148	181	0	FALSE	vegetative_cell_high	50	51	21	1	1	0	R81E02	GRMZM2G012263	Zm00001d037061
402	468A-2	m1	468	2	8/15	217	190	0	FALSE	vegetative_cell_high	50	51	21	1	1	0	R81E02	GRMZM2G012263	Zm00001d037061
402	468A-2	m2	468	2	8/17	150	179	0	FALSE	vegetative_cell_high	50	51	21	1	1	0	R81E02	GRMZM2G012263	Zm00001d037061
402	468A-2	m3	468	2	8/18	151	174	0	FALSE	vegetative_cell_high	50	51	21	1	1	0	R81E02	GRMZM2G012263	Zm00001d037061
403	468A-2	m4	468	2	8/16	278	238	0	FALSE	vegetative_cell_high	50	51	21	1	1	0	R81E02	GRMZM2G012263	Zm00001d037061
402	468A-5	m1	468	5	8/17	180	156	0	FALSE	vegetative_cell_high	50	51	21	1	1	0	R81E02	GRMZM2G012263	Zm00001d037061
400	468AL-2	m1	468	2	8/28	167	153	0	FALSE	vegetative_cell_high	50	51	21	1	1	0	R81E02	GRMZM2G012263	Zm00001d037061
401E	471A-2	m1	471	2	8/13	204	205	0	FALSE	vegetative_cell_high	30	38	30	1	1	0	R83B04	GRMZM2G142863	Zm00001d003947
402	475A-1	m1	475	1	8/17	150	115	0	FALSE	vegetative_cell_high	45	46	12	1	1	1	R88B08	GRMZM2G018372	Zm00001d041514
402	475A-1	m2	475	1	8/14	199	178	0	FALSE	vegetative_cell_high	45	46	12	1	1	0	R88B08	GRMZM2G018372	Zm00001d041514
402	475A-1	m3	475	1	8/18	197	192	0	FALSE	vegetative_cell_high	45	46	12	1	1	0	R88B08	GRMZM2G018372	Zm00001d041514
401	475A-3	m1	475	3	8/20	226	242	0	FALSE	vegetative_cell_high	45	46	12	1	1	0	R88B08	GRMZM2G018372	Zm00001d041514
403	475A-5	m1	475	5	8/18	196	220	0	FALSE	vegetative_cell_high	45	46	12	1	1	0	R88B08	GRMZM2G018372	Zm00001d041514
401	481A-1	m1	481	1	8/24	185	218	1	FALSE	vegetative_cell_high	42	45	5	1	1	0	R92F08	GRMZM2G153987	Zm00001d014782
402	481A-2	m1	481	2	8/17	145	147	0	FALSE	vegetative_cell_high	42	45	5	1	1	0	R92F08	GRMZM2G153987	Zm00001d014782
403	481A-3	m1	481	3	8/18	120	117	1	FALSE	vegetative_cell_high	42	45	5	1	1	0	R92F08	GRMZM2G153987	Zm00001d014782
400	481AL-1	m1	481	1	9/5	134	201	0	FALSE	vegetative_cell_high	42	45	5	1	1	0	R92F08	GRMZM2G153987	Zm00001d014782
400	481AL-1	m2	481	1	9/4	58	76	0	FALSE	vegetative_cell_high	42	45	5	1	1	1	R92F08	GRMZM2G153987	Zm00001d014782
400	481AL-1	m3	481	1	9/6	133	186	0	FALSE	vegetative_cell_high	42	45	5	1	1	0	R92F08	GRMZM2G153987	Zm00001d014782
402	487A-1	m1	487	1	8/22	208	194	0	FALSE	vegetative_cell_high	21	29	19	2	1	0	R32B05	GRMZM2G134054	Zm00001d034839
402	487A-1	m2	487	1	8/24	174	185	0	FALSE	vegetative_cell_high	21	29	19	2	1	0	R32B05	GRMZM2G134054	Zm00001d034839
401	488-1	m1	488	1	8/20	250	248	0	FALSE	vegetative_cell_high	46	34	25	2	1	0	R34C11	GRMZM2G045278	Zm00001d012382
402	488-2	m1	488	2	8/13	317	310	0	FALSE	vegetative_cell_high	46	34	25	2	1	0	R34C11	GRMZM2G045278	Zm00001d012382
402	488-3	m1	488	3	8/16	229	299	0	FALSE	vegetative_cell_high	46	34	25	2	1	0	R34C11	GRMZM2G045278	Zm00001d012382
402	488-3	m2	488	3	8/17	289	303	0	FALSE	vegetative_cell_high	46	34	25	2	1	0	R34C11	GRMZM2G045278	Zm00001d012382
403	488-3	m3	488	3	8/18	211	201	0	FALSE	vegetative_cell_high	46	34	25	2	1	0	R34C11	GRMZM2G045278	Zm00001d012382
402	489-3	m1	489	3	8/20	185	175	0	FALSE	vegetative_cell_high	21	29	19	2	1	0	R45E04	GRMZM2G134054	Zm00001d034839
402	489-3	m2	489	3	8/22	254	241	0	FALSE	vegetative_cell_high	21	29	19	2	1	0	R45E04	GRMZM2G134054	Zm00001d034839
402	489-3	m3	489	3	-	244	242	0	FALSE	vegetative_cell_high	21	29	19	2	1	0	R45E04	GRMZM2G134054	Zm00001d034839
403	489-4	m1	489	4	8/17	229	277	0	FALSE	vegetative_cell_high	21	29	19	2	1	0	R45E04	GRMZM2G134054	Zm00001d034839
401	489-5	m1	489	5	8/24	287	264	0	FALSE	vegetative_cell_high	21	29	19	2	1	0	R45E04	GRMZM2G134054	Zm00001d034839
401	490-1	m1	490	1	8/24	264	313	0	FALSE	vegetative_cell_high	49	48	7	2	1	0	R49F11	GRMZM2G012328	Zm00001d003431
402	490-3	m1	490	3	8/17	87	143	0	FALSE	vegetative_cell_high	49	48	7	2	1	0	R49F11	GRMZM2G012328	Zm00001d003431
402	490-5	m1	490	5	8/22	266	293	0	FALSE	vegetative_cell_high	49	48	7	2	1	0	R49F11	GRMZM2G012328	Zm00001d003431
402	490-5	m2	490	5	8/20	228	328	0	FALSE	vegetative_cell_high	49	48	7	2	1	0	R49F11	GRMZM2G012328	Zm00001d003431
402	490-5	m3	490	5	8/24	196	255	0	FALSE	vegetative_cell_high	49	48	7	2	1	0	R49F11	GRMZM2G012328	Zm00001d003431
402	498-2	m1	498	2	8/17	270	268	0	FALSE	vegetative_cell_high	46	34	25	2	1	0	R107C12	GRMZM2G045278	Zm00001d012382
403	498-2	m2	498	2	8/18	238	219	0	FALSE	vegetative_cell_high	46	34	25	2	1	0	R107C12	GRMZM2G045278	Zm00001d012382
403	498-2	m3	498	2	8/16	215	240	0	FALSE	vegetative_cell_high	46	34	25	2	1	0	R107C12	GRMZM2G045278	Zm00001d012382
403	498-3	m1	498	3	8/18	208	255	0	FALSE	vegetative_cell_high	46	34	25	2	1	0	R107C12	GRMZM2G045278	Zm00001d012382
403	498-4	m1	498	4	-	196	196	0	FALSE	vegetative_cell_high	46	34	25	2	1	0	R107C12	GRMZM2G045278	Zm00001d012382
403	498-5	m1	498	5	8/15	129	181	1	FALSE	vegetative_cell_high	46	34	25	2	1	0	R107C12	GRMZM2G045278	Zm00001d012382
400	498L-2	m1	498	2	9/4	168	196	0	FALSE	vegetative_cell_high	46	34	25	2	1	0	R107C12	GRMZM2G045278	Zm00001d012382
403	498L-2	m2	498	2	8/27	238	222	0	FALSE	vegetative_cell_high	46	34	25	2	1	0	R107C12	GRMZM2G045278	Zm00001d012382
402	434-1	m1	434	1	8/17	294	236	1	FALSE	sperm_cell_high	19	39	9	1	1	0	R26G07	GRMZM2G007659	Zm00001d042810
401	434-3	m1	434	3	8/24	155	148	1	FALSE	sperm_cell_high	19	39	9	1	1	0	R26G07	GRMZM2G007659	Zm00001d042810
400	434L-1	m1	434	1	9/5	120	162	1	FALSE	sperm_cell_high	19	39	9	1	1	0	R26G07	GRMZM2G007659	Zm00001d042810
402	437-1	m1	437	1	8/18	92	80	0	FALSE	sperm_cell_high	12	32	27	1	1	0	R31B01	GRMZM2G160069	Zm00001d025834
402	437-1	m2	437	1	8/17	185	209	0	FALSE	sperm_cell_high	12	32	27	1	1	0	R31B01	GRMZM2G160069	Zm00001d025834
402	437-1	m3	437	1	8/19	80	85	0	FALSE	sperm_cell_high	12	32	27	1	1	0	R31B01	GRMZM2G160069	Zm00001d025834
403	437-2	m1	437	2	8/18	105	119	0	FALSE	sperm_cell_high	12	32	27	1	1	0	R31B01	GRMZM2G160069	Zm00001d025834
401	437-3	m1	437	3	8/22	185	209	0	FALSE	sperm_cell_high	12	32	27	1	1	0	R31B01	GRMZM2G160069	Zm00001d025834
402	441-2	m1	441	2	8/15	280	261	0	FALSE	sperm_cell_high	18	43	24	1	1	1	R35A03	GRMZM2G172726	Zm00001d021974
402	441-2	m2	441	2	8/17	241	226	0	FALSE	sperm_cell_high	18	43	24	1	1	1	R35A03	GRMZM2G172726	Zm00001d021974
402	441-2	m3	441	2	8/16	286	259	0	FALSE	sperm_cell_high	18	43	24	1	1	0	R35A03	GRMZM2G172726	Zm00001d021974
403	441-3	m1	441	3	8/18	171	190	0	FALSE	sperm_cell_high	18	43	24	1	1	0	R35A03	GRMZM2G172726	Zm00001d021974
